epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1185.48,1.32799,2.57117,1.3997,0.74751,0.19888,0.21752,0.13025,1.30818,1.58571,1.37055,0.0033251,0.0033251,0.0033251
2,2340.35,1.26171,1.47009,1.32539,0.80336,0.2244,0.25248,0.14805,1.31568,1.36046,1.35873,0.00659252,0.00659252,0.00659252
3,3491.29,1.30795,1.43669,1.35555,0.63507,0.21993,0.2294,0.1268,1.44725,1.69041,1.45668,0.00979393,0.00979393,0.00979393
4,4643.07,1.36513,1.47466,1.39077,0.72835,0.26956,0.28099,0.16043,1.3568,1.35989,1.40143,0.009703,0.009703,0.009703
5,1077.72,1.33995,1.40101,1.36638,0.67098,0.24972,0.27989,0.1577,1.3878,1.36271,1.43365,0.009604,0.009604,0.009604
6,2131.92,1.30862,1.3331,1.35011,0.6914,0.26812,0.28692,0.16284,1.35595,1.33772,1.40756,0.009505,0.009505,0.009505
7,3190.94,1.27783,1.26223,1.33513,0.71328,0.28552,0.31235,0.17967,1.30929,1.23026,1.37069,0.009406,0.009406,0.009406
8,4253.46,1.26641,1.23486,1.32738,0.74968,0.29691,0.33521,0.1969,1.26639,1.15279,1.33436,0.009307,0.009307,0.009307
9,5342.41,1.26026,1.20253,1.31841,0.72717,0.3079,0.33944,0.19916,1.27498,1.12328,1.34921,0.009208,0.009208,0.009208
10,6465.53,1.2442,1.1676,1.31131,0.68197,0.30948,0.33462,0.19716,1.25177,1.10953,1.32703,0.009109,0.009109,0.009109
11,7566.67,1.2329,1.14717,1.30196,0.70905,0.33846,0.36436,0.21376,1.2139,1.04567,1.29795,0.00901,0.00901,0.00901
12,8671.24,1.22575,1.12186,1.29101,0.73624,0.31807,0.35811,0.20822,1.2281,1.06678,1.31749,0.008911,0.008911,0.008911
13,9799.76,1.21654,1.0914,1.28309,0.62522,0.35444,0.36997,0.22148,1.19988,1.00653,1.28393,0.008812,0.008812,0.008812
14,10924.9,1.20908,1.07848,1.27943,0.62054,0.34411,0.37131,0.22164,1.19743,1.00465,1.28084,0.008713,0.008713,0.008713
15,12067.7,1.19642,1.0528,1.26952,0.54799,0.39331,0.40198,0.23956,1.17583,0.96547,1.26628,0.008614,0.008614,0.008614
16,13179.4,1.18769,1.04146,1.26621,0.56734,0.35783,0.38504,0.23141,1.20143,0.99453,1.27555,0.008515,0.008515,0.008515
17,14309.3,1.17965,1.02061,1.2608,0.53609,0.37941,0.40194,0.23857,1.18228,0.96041,1.26005,0.008416,0.008416,0.008416
18,15451.8,1.17383,1.00881,1.25214,0.49049,0.40638,0.41194,0.24532,1.17001,0.95183,1.26259,0.008317,0.008317,0.008317
19,16559.1,1.16906,1.00039,1.24944,0.66637,0.38512,0.40677,0.24558,1.149,0.91612,1.24468,0.008218,0.008218,0.008218
20,17674,1.16401,0.98449,1.24383,0.58996,0.40701,0.42072,0.2541,1.15162,0.9101,1.23613,0.008119,0.008119,0.008119
21,18792.6,1.1574,0.97188,1.2379,0.52378,0.42517,0.42576,0.25721,1.14,0.89704,1.24136,0.00802,0.00802,0.00802
22,19903.9,1.15072,0.96177,1.23476,0.53523,0.43093,0.4352,0.25888,1.14326,0.90844,1.2427,0.007921,0.007921,0.007921
23,21047.8,1.13795,0.94526,1.22771,0.61806,0.40147,0.43204,0.26058,1.13358,0.87287,1.22609,0.007822,0.007822,0.007822
24,22162.2,1.13984,0.94889,1.23096,0.59823,0.41811,0.44459,0.26046,1.12694,0.87291,1.22426,0.007723,0.007723,0.007723
25,23295.5,1.13338,0.9349,1.22784,0.55278,0.39682,0.43748,0.26491,1.12533,0.86642,1.22426,0.007624,0.007624,0.007624
26,24380,1.12802,0.92243,1.22115,0.53534,0.44271,0.45132,0.27063,1.11833,0.8595,1.21792,0.007525,0.007525,0.007525
27,25484.6,1.12529,0.92117,1.22141,0.59577,0.44035,0.47212,0.2851,1.11736,0.84666,1.21777,0.007426,0.007426,0.007426
28,26609.8,1.11493,0.90633,1.21592,0.58106,0.43115,0.44778,0.27537,1.0988,0.8396,1.20497,0.007327,0.007327,0.007327
29,27714.6,1.11942,0.90452,1.21255,0.59921,0.41978,0.45194,0.27663,1.10511,0.84022,1.21005,0.007228,0.007228,0.007228
30,28827.9,1.11629,0.90096,1.20938,0.55238,0.44029,0.45563,0.27562,1.10913,0.83976,1.21321,0.007129,0.007129,0.007129
31,29925.3,1.109,0.88802,1.20777,0.5903,0.44824,0.46824,0.28392,1.10635,0.82206,1.21036,0.00703,0.00703,0.00703
32,31022.3,1.10251,0.87754,1.20451,0.63063,0.43953,0.46647,0.2837,1.09984,0.81702,1.20036,0.006931,0.006931,0.006931
33,32145.2,1.10759,0.88551,1.2068,0.59119,0.4338,0.4537,0.2782,1.09779,0.82443,1.20105,0.006832,0.006832,0.006832
34,33270.5,1.1029,0.87231,1.19862,0.52777,0.46215,0.47975,0.29381,1.0895,0.80046,1.19329,0.006733,0.006733,0.006733
35,720.873,1.09121,0.85967,1.1926,0.63008,0.42238,0.46742,0.28905,1.09262,0.80804,1.19648,0.006634,0.006634,0.006634
36,1374.44,1.08673,0.85941,1.19652,0.60209,0.46458,0.47253,0.28868,1.08395,0.79928,1.19267,0.006535,0.006535,0.006535
