epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,811.293,1.15628,1.44324,1.30021,0.6472,0.35217,0.35962,0.21821,1.11365,0.95198,1.224,0.0033251,0.0033251,0.0033251
2,1640.89,1.15001,1.03826,1.25288,0.72962,0.33222,0.36874,0.21813,1.1795,1.01085,1.26889,0.00662548,0.00662548,0.00662548
3,2446.79,1.26104,1.15696,1.30608,0.53181,0.31406,0.32265,0.18101,1.32875,1.22108,1.35848,0.00989285,0.00989285,0.00989285
4,3246.01,1.32179,1.24795,1.35054,0.56846,0.31095,0.33393,0.19086,1.31914,1.14768,1.35461,0.0098515,0.0098515,0.0098515
5,4035.42,1.29367,1.19131,1.33943,0.60776,0.29748,0.31539,0.18539,1.29102,1.23266,1.34762,0.009802,0.009802,0.009802
6,4816.36,1.26472,1.14472,1.3199,0.71589,0.32555,0.37041,0.21657,1.23479,1.04882,1.30497,0.0097525,0.0097525,0.0097525
7,5623.31,1.23646,1.10034,1.30531,0.58085,0.38002,0.39554,0.23321,1.19621,1.01,1.27384,0.009703,0.009703,0.009703
8,6409.81,1.21427,1.05987,1.28663,0.5372,0.37937,0.39792,0.23731,1.17738,0.96273,1.26087,0.0096535,0.0096535,0.0096535
9,7216.66,1.20359,1.03797,1.27899,0.60067,0.36094,0.38468,0.22937,1.19037,0.96444,1.27829,0.009604,0.009604,0.009604
10,8031.08,1.18483,1.0147,1.26742,0.55419,0.3857,0.41332,0.24544,1.16891,0.94813,1.255,0.0095545,0.0095545,0.0095545
11,8831.43,1.16715,0.98354,1.25657,0.56923,0.39241,0.39911,0.24104,1.18346,0.93437,1.25906,0.009505,0.009505,0.009505
12,9646,1.16165,0.97209,1.25158,0.61653,0.37732,0.42429,0.25619,1.138,0.89249,1.23881,0.0094555,0.0094555,0.0094555
13,866.466,1.14825,0.95343,1.24141,0.67132,0.40284,0.44815,0.26963,1.12372,0.87719,1.22652,0.009406,0.009406,0.009406
14,1681.4,1.13346,0.94096,1.23747,0.65256,0.4264,0.46078,0.27588,1.11234,0.87069,1.20977,0.0093565,0.0093565,0.0093565
15,2521.19,1.1301,0.91873,1.22745,0.58929,0.44504,0.45923,0.28197,1.11969,0.86529,1.22052,0.009307,0.009307,0.009307
16,3358.95,1.11686,0.90723,1.22232,0.57448,0.42422,0.46132,0.27933,1.12073,0.85046,1.21203,0.0092575,0.0092575,0.0092575
17,4159.03,1.10593,0.88549,1.21687,0.75529,0.41964,0.48296,0.29566,1.09628,0.82406,1.20236,0.009208,0.009208,0.009208
18,4972.3,1.0995,0.87797,1.21052,0.56408,0.46899,0.47913,0.29495,1.08343,0.80702,1.19602,0.0091585,0.0091585,0.0091585
19,5799.98,1.08786,0.86072,1.2045,0.67603,0.45556,0.48352,0.30024,1.08189,0.81126,1.19153,0.009109,0.009109,0.009109
20,6619.5,1.07756,0.84721,1.19879,0.59507,0.4576,0.4866,0.30251,1.07365,0.7905,1.1885,0.0090595,0.0090595,0.0090595
21,7453.91,1.08157,0.8454,1.19513,0.63572,0.45741,0.49192,0.30047,1.07705,0.77392,1.19092,0.00901,0.00901,0.00901
22,8279.96,1.07364,0.83936,1.19457,0.57174,0.48886,0.51058,0.31689,1.06702,0.77738,1.18637,0.0089605,0.0089605,0.0089605
23,9091.37,1.06291,0.82045,1.18514,0.65128,0.46524,0.50754,0.31662,1.07229,0.78514,1.18336,0.008911,0.008911,0.008911
24,9917.98,1.06106,0.82138,1.18333,0.62107,0.48602,0.5004,0.30819,1.0626,0.76133,1.18279,0.0088615,0.0088615,0.0088615
25,10734.7,1.05957,0.81843,1.19029,0.57911,0.48898,0.50859,0.31184,1.06865,0.7692,1.18165,0.008812,0.008812,0.008812
26,11556.3,1.0596,0.81635,1.18381,0.61613,0.47708,0.50651,0.31687,1.0547,0.75854,1.17215,0.0087625,0.0087625,0.0087625
27,12370.6,1.05448,0.80933,1.17927,0.68402,0.4839,0.51829,0.32651,1.04263,0.7458,1.16961,0.008713,0.008713,0.008713
28,807.666,1.04294,0.78716,1.17268,0.64602,0.49525,0.51804,0.32286,1.04438,0.73371,1.16506,0.0086635,0.0086635,0.0086635
29,1658.36,1.02952,0.78077,1.16975,0.69303,0.49972,0.53448,0.33476,1.03819,0.73476,1.16335,0.008614,0.008614,0.008614
30,2511.32,1.0355,0.77225,1.16702,0.71519,0.50762,0.54389,0.34258,1.04794,0.7327,1.16933,0.0085645,0.0085645,0.0085645
31,3356.67,1.02755,0.7712,1.16385,0.68332,0.48641,0.53054,0.33401,1.04689,0.73182,1.16454,0.008515,0.008515,0.008515
32,4199.61,1.01556,0.75324,1.15893,0.73407,0.4857,0.54084,0.34193,1.02927,0.70847,1.16161,0.0084655,0.0084655,0.0084655
33,5034.03,1.01782,0.7562,1.15878,0.66951,0.49704,0.54013,0.34336,1.0294,0.71891,1.15743,0.008416,0.008416,0.008416
34,5852.91,1.00924,0.74502,1.15425,0.66837,0.50494,0.53986,0.34155,1.02947,0.71473,1.15614,0.0083665,0.0083665,0.0083665
35,6665.51,1.00057,0.73238,1.14807,0.69748,0.50026,0.53781,0.34054,1.02162,0.7013,1.15232,0.008317,0.008317,0.008317
36,7483.18,1.00795,0.73762,1.14833,0.61522,0.51927,0.53248,0.33705,1.02222,0.70133,1.15146,0.0082675,0.0082675,0.0082675
37,8290.76,0.99953,0.73138,1.1464,0.65024,0.51519,0.54372,0.34217,1.02345,0.70356,1.15183,0.008218,0.008218,0.008218
38,9088.17,0.99245,0.71997,1.14035,0.62663,0.52396,0.54931,0.34864,1.02993,0.70337,1.15845,0.0081685,0.0081685,0.0081685
39,9902.43,0.9937,0.72146,1.13942,0.64916,0.52134,0.54664,0.34763,1.01672,0.69317,1.14829,0.008119,0.008119,0.008119
40,10710,0.98914,0.71766,1.14264,0.67012,0.50702,0.55758,0.35212,1.01663,0.69027,1.148,0.0080695,0.0080695,0.0080695
41,11508.2,0.98841,0.7169,1.13837,0.67943,0.51379,0.55465,0.35445,1.00951,0.68941,1.14687,0.00802,0.00802,0.00802
